Label,Description,Expression,No_Telecommute,1_day_week,2_3_days_week,4_days_week
util_RETL,Retail,@df.pjobcat == 'RETL',0,coefj_RETL_1day,coefj_RETL_23day,coefj_RETL_4day
util_FOOD,Food,@df.pjobcat == 'FOOD',0,coefj_FOOD_1day,coefj_FOOD_23day,coefj_FOOD_4day
util_MANU,Manufacturing,@df.pjobcat == 'MANU',0,coefj_MANU_1day,coefj_MANU_23day,coefj_MANU_4day
#util_WSLE,"not sure, unused",@df.pjobcat == 'WSLE',0,coefj_WSLE_1day,coefj_WSLE_23day,coefj_WSLE_4day
util_OFFI,Office,@df.pjobcat == 'OFFI',0,coefj_OFFI_1day,coefj_OFFI_23day,coefj_OFFI_4day
util_GVED,Government and education,@df.pjobcat == 'GVED',0,coefj_GVED_1day,coefj_GVED_23day,coefj_GVED_4day
util_HLTH,Health,@df.pjobcat == 'HLTH',0,coefj_HLTH_1day,coefj_HLTH_23day,coefj_HLTH_4day
util_OTHR,other,@df.pjobcat == 'OTHR',0,coefj_OTHR_1day,coefj_OTHR_23day,coefj_OTHR_4day
util_AGRI,Agriculture,@df.pjobcat == 'AGRI',0,coefj_AGRI_1day,coefj_AGRI_23day,coefj_AGRI_4day
util_MING,Mining,@df.pjobcat == 'MING',0,coefj_MING_1day,coefj_MING_23day,coefj_MING_4day
util_CONS,Construction,@df.pjobcat == 'CONS',0,coefj_CONS_1day,coefj_CONS_23day,coefj_CONS_4day
util_HasChildren0to5,Has children 0 to 5 years old,@df.num_young_children > 0,0,coef_HasChildren0to5_1day,coef_HasChildren0to5_23day,coef_HasChildren0to5_4day
util_HasChildren6to12,Has children 6 to 12 years old,@df.has_school_kid,0,coef_HasChildren6to12_1day,coef_HasChildren6to12_23day,coef_HasChildren6to12_4day
util_OneAdultInHH,One adult in hh,@df.num_adults==1,0,coef_OneAdultInHH_1day,coef_OneAdultInHH_23day,coef_OneAdultInHH_4day
util_2plusAdultsInHH,2 or more adults in hh,@df.num_adults>=2,0,coef_2plusAdultsInHH_1day,coef_2plusAdultsInHH_23day,coef_2plusAdultsInHH_4day
util_Female,female,@df.female,0,coef_Female_1day,coef_Female_23day,coef_Female_4day
util_PartTimeWorker,Part-time worker,@df.ptype == 2,0,coef_PartTimeWorker_1day,coef_PartTimeWorker_23day,coef_PartTimeWorker_4day
util_CollegeStudent,College student,@df.ptype==3,0,coef_CollegeStudent_1day,coef_CollegeStudent_23day,coef_CollegeStudent_4day
util_PaysToPark,Pays to park,@~df.free_parking_at_work,0,coef_PaysToPark_1day,coef_PaysToPark_23day,coef_PaysToPark_4day
util_Income60to100k,Income 60-100k,"@df.income_in_thousands.between(60, 100)",0,coef_Income60to100k_1day,coef_Income60to100k_23day,coef_Income60to100k_4day
util_Income100to150k,Income 100-150k,"@df.income_in_thousands.between(100, 150)",0,coef_Income100to150k_1day,coef_Income100to150k_23day,coef_Income100to150k_4day
util_Income150kplus,Income 150k+,@df.income_in_thousands > 150,0,coef_Income150kplus_1day,coef_Income150kplus_23day,coef_Income150kplus_4day
util_0Autos,0 Autos,@df.auto_ownership==0,0,coef_0Autos_1day,coef_0Autos_23day,coef_0Autos_4day
util_1Auto,1 Auto,@df.auto_ownership==1,0,coef_1Auto_1day,coef_1Auto_23day,coef_1Auto_4day
util_3plusAutos,3+ Autos,@df.auto_ownership>=3,0,coef_3plusAutos_1day,coef_3plusAutos_23day,coef_3plusAutos_4day
util_DistanceToWork,Distance to work,@df.distance_to_work,0,coef_DistanceToWork_1day,coef_DistanceToWork_23day,coef_DistanceToWork_4day
util_temp,temp_calibration,1,0,-4,-4.25,-6